iter	RMSE
223	49545.99715
224	49513.12133
225	49464.28977
226	49443.10749
227	49373.81605
228	49354.0743
229	49329.18905
230	49300.25905
231	49262.42901
232	49217.02359
233	49187.38364
234	49164.49217
235	49107.87523
236	49060.71246
237	49039.01017
238	48967.54057
239	48929.08338
240	48887.28319
241	48861.94456
242	48828.62519
243	48782.12376
244	48764.12567
245	48729.9721
246	48693.98971
247	48658.90434
248	48623.58626
249	48579.77454
250	48542.47022
251	48498.01987
252	48473.47119
253	48452.17091
254	48430.01617
255	48391.51951
256	48362.61924
257	48334.58458
258	48313.96794
259	48266.00649
260	48244.76471
261	48224.81074
262	48198.0033
263	48165.80752
264	48136.22527
265	48106.97415
266	48079.802
267	48055.66607
268	48036.6058
269	48013.70935
270	47982.6616
271	47934.06548
272	47913.68475
273	47896.53257
274	47852.74912
275	47825.9127
276	47806.89725
277	47788.90708
278	47759.43625
279	47740.04223
280	47720.37339
281	47697.41623
282	47661.48412
283	47629.87431
284	47599.45403
285	47575.58411
286	47542.00405
287	47513.14962
288	47459.2175
289	47425.21185
290	47409.28581
291	47370.164
292	47329.4533
293	47303.42047
294	47267.82201
295	47238.61901
296	47220.13191
297	47194.39068
298	47165.54314
299	47139.28783
300	47093.24151
301	47060.95305
302	47034.77775
303	47007.61439
304	46991.56096
305	46966.20391
306	46944.34314
307	46913.49077
308	46896.3289
309	46869.3966
310	46835.73067
311	46800.74153
312	46769.58052
313	46750.10091
314	46725.13599
315	46681.5588
316	46652.35872
317	46636.12422
318	46612.34291
319	46595.91951
320	46581.94811
321	46555.89429
322	46537.42125
323	46506.16378
324	46482.79404
325	46460.7285
326	46436.87131
327	46404.9018
328	46376.53805
329	46358.01401
330	46339.36905
331	46320.30421
332	46290.54138
333	46259.97117
334	46231.97098
335	46206.33848
336	46183.75234
337	46166.64202
338	46144.91344
339	46118.57221
340	46102.9193
341	46079.44731
342	46062.88712
343	46044.06257
344	46023.98441
345	46000.93077
346	45976.81711
347	45961.15872
348	45944.10319
349	45913.42549
350	45896.1279
351	45873.76268
352	45847.7359
353	45824.60776
354	45796.61363
355	45773.12821
356	45757.44568
357	45734.97527
358	45696.47647
359	45683.138
360	45666.68449
361	45648.93923
362	45635.24217
363	45620.95077
364	45600.3199
365	45582.84842
366	45566.62433
367	45542.53094
368	45516.88708
369	45493.79995
370	45466.07045
371	45446.00067
372	45432.09329
373	45418.99066
374	45393.0401
375	45371.88849
376	45353.97921
377	45336.05787
378	45318.85168
379	45299.77595
380	45283.36284
381	45268.24029
382	45236.86848
383	45216.37029
384	45197.39496
385	45173.08561
386	45159.44246
387	45129.42974
388	45114.92259
389	45099.8901
390	45082.82732
391	45068.45349
392	45054.65486
393	45036.01724
394	45015.19426
395	44994.33926
396	44978.30019
397	44942.44685
398	44932.108
399	44916.04076
400	44903.92138
401	44885.75449
402	44872.89029
403	44855.83236
404	44834.98153
405	44821.47635
406	44805.08849
407	44782.98759
408	44768.41228
409	44736.93754
410	44719.9417
411	44704.17412
412	44685.38292
413	44670.745
414	44649.9602
415	44628.42748
416	44608.03414
417	44587.49875
418	44574.26838
419	44542.91642
420	44525.16508
421	44509.24928
422	44491.65685
423	44480.11696
424	44466.91445
425	44448.14768
426	44419.48258
427	44406.37415
428	44387.18445
429	44372.82106
430	44358.76938
431	44327.76315
432	44317.69287
433	44304.79259
434	44284.30692
435	44270.45635
436	44254.36634
437	44238.46218
438	44220.74535
439	44202.25253
440	44191.0519
441	44178.69939
442	44170.19444
443	44151.41541
444	44136.17622
445	44110.95483
446	44096.06972
447	44076.41612
448	44047.77841
449	44013.59313
450	43993.19828
451	43978.3756
452	43957.90198
453	43941.20643
454	43926.39909
455	43901.26936
456	43887.42976
457	43876.99872
458	43863.66975
459	43847.47743
460	43831.47027
461	43805.49064
462	43796.43894
463	43777.12087
464	43764.57013
465	43744.78743
466	43723.77471
467	43709.34126
468	43690.07669
469	43678.76815
470	43658.88372
471	43645.17918
472	43627.88278
473	43616.42356
474	43603.38612
475	43588.58222
476	43563.12275
477	43549.68386
478	43533.69133
479	43518.84263
480	43504.55088
481	43488.99331
482	43474.38678
483	43463.98102
484	43454.61563
485	43439.4105
486	43428.11634
487	43402.80913
488	43383.53005
489	43366.349
490	43348.96508
491	43331.48093
492	43318.82776
493	43307.3484
494	43298.65186
495	43291.36112
496	43274.46293
497	43259.64902
498	43250.68681
499	43240.65018
